,ppg
0,46.593407
1,45.470085
2,45.470085
3,45.470085
4,44.420025
5,44.420025
6,43.492065
7,43.492065
8,42.686203
9,42.686203
10,42.686203
11,41.9536
12,41.9536
13,41.3431
14,41.3431
15,41.3431
16,40.854702
17,40.854702
18,40.46398
19,40.46398
20,40.146523
21,40.146523
22,40.146523
23,39.90232
24,39.90232
25,39.755802
26,39.755802
27,39.755802
28,39.65812
29,39.65812
30,39.56044
31,39.56044
32,39.46276
33,39.46276
34,39.46276
35,39.31624
36,39.31624
37,39.12088
38,39.12088
39,39.12088
40,38.97436
41,38.97436
42,38.754578
43,38.754578
44,38.43712
45,38.43712
46,38.43712
47,38.11966
48,38.11966
49,37.82662
50,37.82662
51,37.82662
52,37.46032
53,37.46032
54,37.045177
55,37.045177
56,36.67888
57,36.67888
58,36.67888
59,36.312576
60,36.312576
61,35.921856
62,35.921856
63,35.921856
64,35.482296
65,35.482296
66,35.018314
67,35.018314
68,34.529915
69,34.529915
70,34.529915
71,34.041515
72,34.041515
73,33.528694
74,33.528694
75,33.528694
76,33.064713
77,33.064713
78,32.625153
79,32.625153
80,32.16117
81,32.16117
82,32.16117
83,31.697193
84,31.697193
85,31.208792
86,31.208792
87,31.208792
88,30.72039
89,30.72039
90,30.30525
91,30.30525
92,29.93895
93,29.93895
94,29.93895
95,29.52381
96,29.52381
97,29.13309
98,29.13309
99,29.13309
100,28.766788
101,28.766788
102,28.40049
103,28.40049
104,28.009768
105,28.009768
106,28.009768
107,27.570208
108,27.570208
109,27.130648
110,27.130648
111,27.130648
112,26.691088
113,26.691088
114,26.275948
115,26.275948
116,25.860806
117,25.860806
118,25.860806
119,25.421246
120,25.421246
121,24.981686
122,24.981686
123,24.981686
124,24.590965
125,24.590965
126,24.200245
127,24.200245
128,23.809525
129,23.809525
130,23.809525
131,23.638584
132,23.638584
133,23.711843
134,23.711843
135,23.711843
136,24.175825
137,24.175825
138,25.274725
139,25.274725
140,27.301588
141,27.301588
142,27.301588
143,30.13431
144,30.13431
145,33.553116
146,33.553116
147,33.553116
148,37.60684
149,37.60684
150,41.978024
151,41.978024
152,46.34921
153,46.34921
154,46.34921
155,50.45177
156,50.45177
157,53.968254
158,53.968254
159,53.968254
160,56.67888
161,56.67888
162,58.705738
163,58.705738
164,60.146523
165,60.146523
166,60.146523
167,60.976803
168,60.976803
169,61.269844
170,61.269844
171,61.269844
172,61.245422
173,61.245422
174,60.95238
175,60.95238
176,60.46398
177,60.46398
178,60.46398
179,59.95116
180,59.95116
181,59.43834
182,59.43834
183,59.43834
184,58.9011
185,58.9011
186,58.43712
187,58.43712
188,58.0464
189,58.0464
190,58.0464
191,57.655678
192,57.655678
193,57.313797
194,57.313797
195,57.313797
196,56.996338
197,56.996338
198,56.63004
199,56.63004
200,56.28816
201,56.28816
202,56.28816
203,55.433456
204,55.433456
205,54.871796
206,54.871796
207,54.871796
208,54.261295
209,54.261295
210,53.626373
211,53.626373
212,52.893772
213,52.893772
214,52.893772
215,52.039074
216,52.039074
217,51.11111
218,51.11111
219,51.11111
220,50.085472
221,50.085472
222,48.98657
223,48.98657
224,47.814407
225,47.814407
226,47.814407
227,46.593407
